,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59
S43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.94,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0
S44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.34,0.97,0.06,0.08,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-,0.0,0.0,0.0,0.0,1.0,1.0,0.96,0.01,0.0,0.0,1.0,1.0,0.54,0.0,0.0
S45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,1.0,1.0,1.0,1.0,0.99,0.88,0.65,0.67,0.3,0.35,0.33,1.0,1.0,1.0,1.0,-,0.0,0.0,0.0,1.0,1.0,1.0,0.94,0.86,0.54,1.0,1.0,1.0,0.8,0.68
S46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,0.0,0.0,1.0,1.0,1.0,0.99,0.96,0.67,1.0,1.0,1.0,0.88,0.7
S47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,0.0,1.0,1.0,1.0,0.99,0.97,0.65,1.0,1.0,1.0,0.89,0.63
S48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,0.99,0.97,0.66,1.0,1.0,1.0,0.88,0.67
S49,0.0,0.84,0.34,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72,0.06,0.0,0.0,0.0,0.0,1.0,0.58,0.42,0.01,0.0,1.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0
S50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,0.0
S51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.54,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0.2,0.04,0.0,0.0,0.0,0.0,1.0,1.0,-,0.0,0.0,0.0,1.0,0.99,0.04,0.0,0.0
S52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,0.96,0.99,0.69,0.65,0.04,0.04,0.01,0.01,0.01,1.0,1.0,1.0,0.99,0.06,0.01,0.01,0.01,1.0,1.0,1.0,-,0.0,0.0,1.0,1.0,1.0,0.29,0.26
S53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,1.0,1.0,0.98,1.0,0.82,0.69,0.15,0.15,0.03,0.02,0.03,1.0,1.0,1.0,1.0,0.14,0.04,0.03,0.03,1.0,1.0,1.0,1.0,-,0.0,1.0,1.0,1.0,0.52,0.51
S54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.99,1.0,0.93,0.8,0.45,0.42,0.32,0.32,0.32,1.0,1.0,1.0,1.0,0.46,0.33,0.35,0.34,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,0.99,0.99
S55,0.0,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.04,0.0,0.0,0.0,0.0,0.0,0.95,0.1,0.06,0.0,0.0,0.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0
